"","orig.ident","nCount_RNA","nFeature_RNA","RNA_snn_res.2.5","seurat_clusters","cell_type","cell_type_manual","large_group"
"Neuron1","pbmc3k",602,53,"5","5","hNP1","hNP1","NP"
"Neuron2","pbmc3k",2999,73,"0","0","hNP1","hNP1","NP"
"Neuron3","pbmc3k",3633,64,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron4","pbmc3k",6706,77,"0","0","hNP1","hNP1","NP"
"Neuron5","pbmc3k",1733,60,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron6","pbmc3k",3075,64,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron7","pbmc3k",6578,75,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron8","pbmc3k",3788,74,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron9","pbmc3k",4837,61,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron10","pbmc3k",7137,76,"0","0","hNP1","hNP1","NP"
"Neuron11","pbmc3k",8320,75,"0","0","hNP1","hNP1","NP"
"Neuron12","pbmc3k",4531,72,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron13","pbmc3k",6014,78,"3","3","hSST","hSST","NP"
"Neuron14","pbmc3k",5170,74,"0","0","hNP1","hNP1","NP"
"Neuron15","pbmc3k",5883,72,"0","0","hNP1","hNP1","NP"
"Neuron16","pbmc3k",4831,74,"0","0","hNP1","hNP1","NP"
"Neuron17","pbmc3k",3722,62,"12","12","hPropr","hPropr","NF"
"Neuron18","pbmc3k",1304,64,"3","3","hSST","hSST","NP"
"Neuron19","pbmc3k",506,53,"3","3","hSST","hSST","NP"
"Neuron20","pbmc3k",11116,78,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron21","pbmc3k",1488,61,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron22","pbmc3k",17527,79,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron23","pbmc3k",7188,68,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron24","pbmc3k",617,59,"15","15","hNP2","hNP2","NP"
"Neuron25","pbmc3k",2156,50,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron26","pbmc3k",6648,70,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron27","pbmc3k",6351,64,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron28","pbmc3k",8271,67,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron29","pbmc3k",7518,67,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron30","pbmc3k",4358,72,"0","0","hNP1","hNP1","NP"
"Neuron31","pbmc3k",6892,67,"12","12","hPropr","hPropr","NF"
"Neuron32","pbmc3k",12630,72,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron33","pbmc3k",7325,73,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron34","pbmc3k",5622,67,"0","0","hNP1","hNP1","NP"
"Neuron35","pbmc3k",5264,73,"0","0","hNP1","hNP1","NP"
"Neuron36","pbmc3k",5818,70,"0","0","hNP1","hNP1","NP"
"Neuron37","pbmc3k",6790,74,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron38","pbmc3k",4144,74,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron39","pbmc3k",1249,65,"3","3","hSST","hSST","NP"
"Neuron40","pbmc3k",6917,66,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron41","pbmc3k",5834,74,"0","0","hNP1","hNP1","NP"
"Neuron42","pbmc3k",1719,67,"5","5","hNP1","hNP1","NP"
"Neuron43","pbmc3k",2666,67,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron44","pbmc3k",558,53,"5","5","hNP1","hNP1","NP"
"Neuron45","pbmc3k",6331,69,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron46","pbmc3k",11157,76,"0","0","hNP1","hNP1","NP"
"Neuron47","pbmc3k",330,45,"14","14","hPEP0","hPEP.0","PEP"
"Neuron48","pbmc3k",5355,75,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron49","pbmc3k",5145,60,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron50","pbmc3k",2861,66,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron51","pbmc3k",2749,56,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron52","pbmc3k",1008,55,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron53","pbmc3k",1448,60,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron54","pbmc3k",4726,73,"0","0","hNP1","hNP1","NP"
"Neuron55","pbmc3k",4648,65,"3","3","hSST","hSST","NP"
"Neuron56","pbmc3k",2980,68,"0","0","hNP1","hNP1","NP"
"Neuron57","pbmc3k",3731,68,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron58","pbmc3k",943,55,"0","0","hNP1","hNP1","NP"
"Neuron59","pbmc3k",5069,73,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron60","pbmc3k",2174,59,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron61","pbmc3k",769,53,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron62","pbmc3k",1458,65,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron64","pbmc3k",1174,58,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron65","pbmc3k",3182,65,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron66","pbmc3k",4064,67,"0","0","hNP1","hNP1","NP"
"Neuron67","pbmc3k",880,62,"5","5","hNP1","hNP1","NP"
"Neuron68","pbmc3k",1497,59,"15","15","hNP2","hNP2","NP"
"Neuron69","pbmc3k",5506,68,"12","12","hPropr","hPropr","NF"
"Neuron70","pbmc3k",669,53,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron71","pbmc3k",5678,76,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron72","pbmc3k",5110,71,"3","3","hSST","hSST","NP"
"Neuron73","pbmc3k",7509,70,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron74","pbmc3k",8684,75,"12","12","hPropr","hPropr","NF"
"Neuron75","pbmc3k",6585,72,"12","12","hPropr","hPropr","NF"
"Neuron76","pbmc3k",7839,78,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron78","pbmc3k",10729,78,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron79","pbmc3k",4647,73,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron80","pbmc3k",2856,62,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron81","pbmc3k",3544,66,"3","3","hSST","hSST","NP"
"Neuron82","pbmc3k",2283,62,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron83","pbmc3k",3380,70,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron84","pbmc3k",9336,67,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron85","pbmc3k",3868,73,"3","3","hSST","hSST","NP"
"Neuron87","pbmc3k",3829,68,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron88","pbmc3k",999,56,"0","0","hNP1","hNP1","NP"
"Neuron89","pbmc3k",2065,69,"5","5","hNP1","hNP1","NP"
"Neuron90","pbmc3k",1827,59,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron91","pbmc3k",6294,70,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron92","pbmc3k",1634,69,"5","5","hNP1","hNP1","NP"
"Neuron93","pbmc3k",6938,73,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron94","pbmc3k",9492,71,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron95","pbmc3k",3878,68,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron96","pbmc3k",7551,72,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron97","pbmc3k",2686,69,"0","0","hNP1","hNP1","NP"
"Neuron98","pbmc3k",7531,77,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron99","pbmc3k",11379,67,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron100","pbmc3k",432,47,"0","0","hNP1","hNP1","NP"
"Neuron101","pbmc3k",1108,50,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron102","pbmc3k",7988,71,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron103","pbmc3k",5089,68,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron104","pbmc3k",5071,70,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron105","pbmc3k",683,53,"0","0","hNP1","hNP1","NP"
"Neuron106","pbmc3k",2771,61,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron107","pbmc3k",250,44,"14","14","hPEP0","hPEP.0","PEP"
"Neuron108","pbmc3k",8009,65,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron109","pbmc3k",9137,71,"0","0","hNP1","hNP1","NP"
"Neuron110","pbmc3k",1865,52,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron111","pbmc3k",1768,66,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron112","pbmc3k",2034,68,"15","15","hNP2","hNP2","NP"
"Neuron113","pbmc3k",3977,65,"0","0","hNP1","hNP1","NP"
"Neuron114","pbmc3k",1638,53,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron115","pbmc3k",5307,73,"15","15","hNP2","hNP2","NP"
"Neuron116","pbmc3k",5032,68,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron117","pbmc3k",8006,82,"15","15","hNP2","hNP2","NP"
"Neuron118","pbmc3k",1378,58,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron119","pbmc3k",2309,63,"5","5","hNP1","hC.LTMR","NP"
"Neuron120","pbmc3k",1001,59,"14","14","hPEP0","hPEP.0","PEP"
"Neuron121","pbmc3k",434,53,"14","14","hPEP0","hPEP.0","PEP"
"Neuron122","pbmc3k",10194,73,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron123","pbmc3k",1192,59,"3","3","hSST","hSST","NP"
"Neuron124","pbmc3k",5298,71,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron125","pbmc3k",5070,71,"3","3","hSST","hSST","NP"
"Neuron126","pbmc3k",3009,60,"0","0","hNP1","hC.LTMR","NP"
"Neuron127","pbmc3k",2040,65,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron128","pbmc3k",4136,66,"0","0","hNP1","hNP1","NP"
"Neuron129","pbmc3k",1058,50,"14","14","hPEP0","hPEP.0","PEP"
"Neuron131","pbmc3k",8170,70,"12","12","hPropr","hPropr","NF"
"Neuron132","pbmc3k",3271,63,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron134","pbmc3k",198,39,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron135","pbmc3k",3378,61,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron136","pbmc3k",5308,69,"0","0","hNP1","hNP1","NP"
"Neuron137","pbmc3k",446,50,"5","5","hNP1","hNP1","NP"
"Neuron138","pbmc3k",6048,72,"0","0","hNP1","hNP1","NP"
"Neuron139","pbmc3k",5231,63,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron140","pbmc3k",2224,64,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron141","pbmc3k",7616,73,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron142","pbmc3k",4180,74,"3","3","hSST","hSST","NP"
"Neuron143","pbmc3k",1328,57,"0","0","hNP1","hNP1","NP"
"Neuron144","pbmc3k",992,60,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron145","pbmc3k",937,60,"5","5","hNP1","hNP1","NP"
"Neuron146","pbmc3k",5590,70,"15","15","hNP2","hNP2","NP"
"Neuron147","pbmc3k",6565,70,"0","0","hNP1","hNP1","NP"
"Neuron148","pbmc3k",5100,67,"0","0","hNP1","hNP1","NP"
"Neuron149","pbmc3k",8507,66,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron150","pbmc3k",4133,67,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron151","pbmc3k",1819,57,"0","0","hNP1","hNP1","NP"
"Neuron152","pbmc3k",7768,76,"0","0","hNP1","hNP1","NP"
"Neuron153","pbmc3k",907,55,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron154","pbmc3k",133,34,"3","3","hSST","hSST","NP"
"Neuron155","pbmc3k",1992,60,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron156","pbmc3k",370,56,"3","3","hSST","hSST","NP"
"Neuron157","pbmc3k",2129,61,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron158","pbmc3k",4556,68,"0","0","hNP1","hNP1","NP"
"Neuron159","pbmc3k",938,61,"5","5","hNP1","hNP1","NP"
"Neuron160","pbmc3k",628,50,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron161","pbmc3k",2534,70,"15","15","hNP2","hNP2","NP"
"Neuron162","pbmc3k",6552,70,"0","0","hNP1","hNP1","NP"
"Neuron163","pbmc3k",3968,70,"0","0","hNP1","hNP1","NP"
"Neuron164","pbmc3k",1799,52,"0","0","hNP1","hNP1","NP"
"Neuron165","pbmc3k",8079,76,"0","0","hNP1","hNP1","NP"
"Neuron166","pbmc3k",2971,63,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron167","pbmc3k",3564,66,"0","0","hNP1","hNP1","NP"
"Neuron168","pbmc3k",5992,75,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron169","pbmc3k",623,55,"0","0","hNP1","hNP1","NP"
"Neuron170","pbmc3k",5087,68,"0","0","hNP1","hNP1","NP"
"Neuron171","pbmc3k",6211,66,"0","0","hNP1","hNP1","NP"
"Neuron173","pbmc3k",1999,64,"14","14","hPEP0","hPEP.0","PEP"
"Neuron174","pbmc3k",379,47,"0","0","hNP1","hNP1","NP"
"Neuron175","pbmc3k",5091,70,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron176","pbmc3k",6656,71,"0","0","hNP1","hNP1","NP"
"Neuron177","pbmc3k",5781,71,"0","0","hNP1","hNP1","NP"
"Neuron178","pbmc3k",2457,66,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron179","pbmc3k",9889,75,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron180","pbmc3k",10176,76,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron181","pbmc3k",1560,69,"5","5","hNP1","hNP1","NP"
"Neuron182","pbmc3k",4971,69,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron183","pbmc3k",2972,63,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron184","pbmc3k",3914,74,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron185","pbmc3k",7909,68,"12","12","hPropr","hPropr","NF"
"Neuron186","pbmc3k",504,47,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron187","pbmc3k",5297,71,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron188","pbmc3k",5128,79,"0","0","hNP1","hNP1","NP"
"Neuron189","pbmc3k",4772,72,"12","12","hPropr","hPropr","NF"
"Neuron190","pbmc3k",571,46,"14","14","hPEP0","hPEP.0","PEP"
"Neuron191","pbmc3k",430,45,"0","0","hNP1","hNP1","NP"
"Neuron192","pbmc3k",1532,60,"3","3","hSST","hSST","NP"
"Neuron193","pbmc3k",80,22,"14","14","hPEP0","hPEP.0","PEP"
"Neuron194","pbmc3k",3157,65,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron195","pbmc3k",8399,78,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron196","pbmc3k",13909,78,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron197","pbmc3k",12080,80,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron198","pbmc3k",8952,72,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron199","pbmc3k",5367,62,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron200","pbmc3k",3761,57,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron201","pbmc3k",11893,77,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron202","pbmc3k",4239,69,"15","15","hNP2","hNP2","NP"
"Neuron203","pbmc3k",5572,69,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron204","pbmc3k",7201,72,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron205","pbmc3k",4066,59,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron206","pbmc3k",6128,68,"12","12","hPropr","hPropr","NF"
"Neuron207","pbmc3k",5217,63,"12","12","hPropr","hPropr","NF"
"Neuron208","pbmc3k",1682,64,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron209","pbmc3k",925,48,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron210","pbmc3k",816,53,"14","14","hPEP0","hPEP.0","PEP"
"Neuron211","pbmc3k",2262,68,"14","14","hPEP0","hPEP.0","PEP"
"Neuron212","pbmc3k",5746,71,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron213","pbmc3k",2243,68,"3","3","hSST","hSST","NP"
"Neuron214","pbmc3k",5370,70,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron215","pbmc3k",12820,78,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron216","pbmc3k",1879,64,"3","3","hSST","hSST","NP"
"Neuron217","pbmc3k",4434,58,"12","12","hPropr","hPropr","NF"
"Neuron218","pbmc3k",6955,60,"12","12","hPropr","hPropr","NF"
"Neuron219","pbmc3k",1457,48,"12","12","hPropr","hPropr","NF"
"Neuron220","pbmc3k",8489,68,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron221","pbmc3k",2772,61,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron222","pbmc3k",3714,55,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron223","pbmc3k",5859,72,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron224","pbmc3k",463,32,"12","12","hPropr","hPropr","NF"
"Neuron225","pbmc3k",4808,65,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron226","pbmc3k",3632,72,"3","3","hSST","hSST","NP"
"Neuron228","pbmc3k",8315,68,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron229","pbmc3k",9965,69,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron230","pbmc3k",8615,70,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron231","pbmc3k",4147,66,"12","12","hPropr","hPropr","NF"
"Neuron232","pbmc3k",2049,70,"3","3","hSST","hSST","NP"
"Neuron233","pbmc3k",6159,70,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron235","pbmc3k",10723,71,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron236","pbmc3k",5552,68,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron237","pbmc3k",8567,74,"15","15","hNP2","hNP2","NP"
"Neuron238","pbmc3k",3373,69,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron239","pbmc3k",9900,68,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron240","pbmc3k",6008,71,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron241","pbmc3k",5561,71,"12","12","hPropr","hPropr","NF"
"Neuron242","pbmc3k",2789,63,"0","0","hNP1","hNP1","NP"
"Neuron243","pbmc3k",5376,70,"3","3","hSST","hSST","NP"
"Neuron244","pbmc3k",2931,60,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron245","pbmc3k",3112,74,"15","15","hNP2","hNP2","NP"
"Neuron246","pbmc3k",1921,54,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron247","pbmc3k",9178,72,"0","0","hNP1","hNP1","NP"
"Neuron248","pbmc3k",9467,69,"12","12","hPropr","hPropr","NF"
"Neuron249","pbmc3k",3194,65,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron250","pbmc3k",5864,71,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron251","pbmc3k",6497,73,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron252","pbmc3k",6081,69,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron253","pbmc3k",6143,67,"12","12","hPropr","hPropr","NF"
"Neuron254","pbmc3k",7222,75,"3","3","hSST","hSST","NP"
"Neuron255","pbmc3k",6714,61,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron256","pbmc3k",3518,62,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron257","pbmc3k",4023,63,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron258","pbmc3k",568,49,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron259","pbmc3k",4836,72,"15","15","hNP2","hNP2","NP"
"Neuron260","pbmc3k",8458,73,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron261","pbmc3k",4298,66,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron262","pbmc3k",6248,74,"0","0","hNP1","hNP1","NP"
"Neuron263","pbmc3k",5816,70,"15","15","hNP2","hNP2","NP"
"Neuron264","pbmc3k",4911,65,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron265","pbmc3k",4042,73,"15","15","hNP2","hNP2","NP"
"Neuron266","pbmc3k",1046,59,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron267","pbmc3k",7528,76,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron268","pbmc3k",6921,69,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron272","pbmc3k",3055,62,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron273","pbmc3k",11088,70,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron274","pbmc3k",5335,75,"15","15","hNP2","hNP2","NP"
"Neuron275","pbmc3k",6899,67,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron276","pbmc3k",1087,63,"3","3","hSST","hSST","NP"
"Neuron277","pbmc3k",8891,74,"0","0","hNP1","hNP1","NP"
"Neuron278","pbmc3k",1353,61,"3","3","hSST","hSST","NP"
"Neuron279","pbmc3k",2433,63,"0","0","hNP1","hNP1","NP"
"Neuron280","pbmc3k",7579,78,"3","3","hSST","hSST","NP"
"Neuron281","pbmc3k",8174,73,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron282","pbmc3k",1185,56,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron283","pbmc3k",2782,66,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron284","pbmc3k",3429,70,"3","3","hSST","hSST","NP"
"Neuron285","pbmc3k",2164,61,"12","12","hPropr","hPropr","NF"
"Neuron286","pbmc3k",4371,61,"0","0","hNP1","hNP1","NP"
