"","orig.ident","nCount_RNA","nFeature_RNA","RNA_snn_res.2.5","seurat_clusters","cell_type","cell_type_manual","large_group"
"Neuron857","pbmc3k",443,44,"14","14","hPEP0","hPEP.0","PEP"
"Neuron858","pbmc3k",3870,76,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron859","pbmc3k",3003,60,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron860","pbmc3k",4784,73,"0","0","hNP1","hNP1","NP"
"Neuron861","pbmc3k",5380,72,"0","0","hNP1","hNP1","NP"
"Neuron862","pbmc3k",5151,61,"0","0","hNP1","hNP1","NP"
"Neuron863","pbmc3k",938,50,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron864","pbmc3k",860,57,"14","14","hPEP0","hPEP.0","PEP"
"Neuron865","pbmc3k",5267,60,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron866","pbmc3k",393,47,"14","14","hPEP0","hPEP.0","PEP"
"Neuron867","pbmc3k",1386,59,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron868","pbmc3k",9724,65,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron869","pbmc3k",13278,68,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron870","pbmc3k",1086,60,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron872","pbmc3k",5856,76,"3","3","hSST","hSST","NP"
"Neuron873","pbmc3k",5155,66,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron874","pbmc3k",13961,72,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron875","pbmc3k",4780,70,"12","12","hPropr","hPropr","NF"
"Neuron876","pbmc3k",11519,73,"12","12","hPropr","hPropr","NF"
"Neuron877","pbmc3k",7014,67,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron878","pbmc3k",9199,67,"12","12","hPropr","hPropr","NF"
"Neuron879","pbmc3k",9555,73,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron880","pbmc3k",8350,74,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron881","pbmc3k",6762,74,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron882","pbmc3k",8377,69,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron883","pbmc3k",10053,66,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron884","pbmc3k",5759,66,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron885","pbmc3k",5744,70,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron886","pbmc3k",6324,67,"12","12","hPropr","hPropr","NF"
"Neuron887","pbmc3k",9467,76,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron888","pbmc3k",4006,68,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron889","pbmc3k",11838,73,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron891","pbmc3k",8721,74,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron892","pbmc3k",1855,58,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron894","pbmc3k",850,56,"12","12","hPropr","hPropr","NF"
"Neuron895","pbmc3k",9043,68,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron896","pbmc3k",3215,51,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron897","pbmc3k",3007,54,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron898","pbmc3k",5222,66,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron899","pbmc3k",460,42,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron901","pbmc3k",4394,59,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron902","pbmc3k",3459,67,"3","3","hSST","hSST","NP"
"Neuron903","pbmc3k",716,53,"3","3","hSST","hSST","NP"
"Neuron904","pbmc3k",9807,81,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron905","pbmc3k",7106,77,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron906","pbmc3k",1657,64,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron907","pbmc3k",2907,71,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron908","pbmc3k",672,50,"3","3","hSST","hSST","NP"
"Neuron909","pbmc3k",4355,69,"3","3","hSST","hSST","NP"
"Neuron910","pbmc3k",1648,53,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron911","pbmc3k",3079,66,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron912","pbmc3k",1857,60,"14","14","hPEP0","hPEP.0","PEP"
"Neuron913","pbmc3k",5021,70,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron914","pbmc3k",6805,66,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron915","pbmc3k",3153,61,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron916","pbmc3k",484,53,"5","5","hNP1","hNP1","NP"
"Neuron917","pbmc3k",844,45,"12","12","hPropr","hPropr","NF"
"Neuron918","pbmc3k",5272,62,"12","12","hPropr","hPropr","NF"
"Neuron919","pbmc3k",1839,69,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron920","pbmc3k",1074,56,"5","5","hNP1","hNP1","NP"
"Neuron921","pbmc3k",478,42,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron922","pbmc3k",2530,63,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron923","pbmc3k",2814,61,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron924","pbmc3k",560,55,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron925","pbmc3k",4398,66,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron926","pbmc3k",2916,73,"5","5","hNP1","hNP1","NP"
"Neuron927","pbmc3k",1885,62,"12","12","hPropr","hPropr","NF"
"Neuron928","pbmc3k",2904,71,"15","15","hNP2","hNP2","NP"
"Neuron929","pbmc3k",2209,52,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron930","pbmc3k",2599,68,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron932","pbmc3k",10284,76,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron933","pbmc3k",1583,58,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron934","pbmc3k",2036,69,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron935","pbmc3k",1608,65,"5","5","hNP1","hNP1","NP"
"Neuron936","pbmc3k",4529,80,"14","14","hPEP0","hPEP.0","PEP"
"Neuron937","pbmc3k",3619,76,"14","14","hPEP0","hPEP.0","PEP"
"Neuron938","pbmc3k",409,47,"14","14","hPEP0","hPEP.0","PEP"
"Neuron939","pbmc3k",3539,76,"5","5","hNP1","hNP1","NP"
"Neuron940","pbmc3k",4229,63,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron941","pbmc3k",4752,71,"12","12","hPropr","hPropr","NF"
"Neuron942","pbmc3k",4161,60,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron943","pbmc3k",3700,63,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron944","pbmc3k",6622,71,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron945","pbmc3k",7537,67,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron946","pbmc3k",965,54,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron947","pbmc3k",308,49,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron948","pbmc3k",2636,65,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron950","pbmc3k",3730,58,"8","8","hAb.LTMR","hATF3","NF"
"Neuron951","pbmc3k",4552,59,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron952","pbmc3k",12723,78,"8","8","hAb.LTMR","hATF3","NF"
"Neuron953","pbmc3k",1912,54,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron954","pbmc3k",1263,65,"5","5","hNP1","hNP1","NP"
"Neuron955","pbmc3k",887,58,"14","14","hPEP0","hPEP.0","PEP"
"Neuron956","pbmc3k",2257,76,"5","5","hNP1","hNP1","NP"
"Neuron957","pbmc3k",8526,71,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron958","pbmc3k",1923,64,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron959","pbmc3k",773,57,"0","0","hNP1","hNP1","NP"
"Neuron960","pbmc3k",2312,54,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron961","pbmc3k",3954,68,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron962","pbmc3k",4866,63,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron963","pbmc3k",6848,70,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron964","pbmc3k",1713,58,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron965","pbmc3k",2822,61,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron966","pbmc3k",2859,62,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron967","pbmc3k",5729,75,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron968","pbmc3k",10345,79,"5","5","hNP1","hNP1","NP"
"Neuron969","pbmc3k",4903,69,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron970","pbmc3k",1144,65,"3","3","hSST","hSST","NP"
"Neuron971","pbmc3k",2085,68,"14","14","hPEP0","hPEP.0","PEP"
"Neuron972","pbmc3k",2423,68,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron973","pbmc3k",8380,70,"12","12","hPropr","hPropr","NF"
"Neuron974","pbmc3k",7433,78,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron975","pbmc3k",8454,69,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron976","pbmc3k",699,60,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron977","pbmc3k",11930,78,"0","0","hNP1","hNP1","NP"
"Neuron978","pbmc3k",2559,63,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron979","pbmc3k",2794,72,"3","3","hSST","hSST","NP"
"Neuron980","pbmc3k",3343,62,"15","15","hNP2","hNP2","NP"
"Neuron981","pbmc3k",3822,63,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron982","pbmc3k",1737,65,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron983","pbmc3k",3948,68,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron984","pbmc3k",11888,76,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron985","pbmc3k",8834,66,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron986","pbmc3k",4045,71,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron988","pbmc3k",700,61,"14","14","hPEP0","hPEP.0","PEP"
"Neuron989","pbmc3k",4616,72,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron990","pbmc3k",3333,68,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron991","pbmc3k",3703,67,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron992","pbmc3k",4468,65,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron994","pbmc3k",8592,72,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron995","pbmc3k",1955,51,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron996","pbmc3k",2719,68,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron997","pbmc3k",396,55,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron998","pbmc3k",1619,58,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron999","pbmc3k",397,56,"5","5","hNP1","hNP1","NP"
"Neuron1000","pbmc3k",2081,52,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron1001","pbmc3k",2407,67,"14","14","hPEP0","hPEP.0","PEP"
"Neuron1002","pbmc3k",6521,74,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1003","pbmc3k",2524,63,"0","0","hNP1","hNP1","NP"
"Neuron1004","pbmc3k",3271,65,"0","0","hNP1","hNP1","NP"
"Neuron1005","pbmc3k",4372,71,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron1006","pbmc3k",2039,70,"15","15","hNP2","hNP2","NP"
"Neuron1007","pbmc3k",4209,69,"0","0","hNP1","hNP1","NP"
"Neuron1008","pbmc3k",2800,56,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1009","pbmc3k",535,48,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1010","pbmc3k",4567,75,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1011","pbmc3k",1411,65,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1012","pbmc3k",1730,73,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron1013","pbmc3k",3136,68,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1014","pbmc3k",3012,69,"15","15","hNP2","hNP2","NP"
"Neuron1015","pbmc3k",1873,64,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1016","pbmc3k",1176,61,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron1018","pbmc3k",1357,56,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1019","pbmc3k",2106,63,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1020","pbmc3k",3237,64,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1021","pbmc3k",1218,61,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1022","pbmc3k",2142,60,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1023","pbmc3k",2672,65,"0","0","hNP1","hNP1","NP"
"Neuron1024","pbmc3k",1719,53,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1025","pbmc3k",3315,68,"0","0","hNP1","hNP1","NP"
"Neuron1026","pbmc3k",2263,59,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1027","pbmc3k",1889,60,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1028","pbmc3k",5161,74,"0","0","hNP1","hNP1","NP"
"Neuron1029","pbmc3k",704,53,"14","14","hPEP0","hPEP.0","PEP"
"Neuron1030","pbmc3k",1957,61,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1031","pbmc3k",2579,56,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1032","pbmc3k",1871,58,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1033","pbmc3k",1889,59,"0","0","hNP1","hNP1","NP"
"Neuron1034","pbmc3k",5459,73,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1035","pbmc3k",1822,65,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1036","pbmc3k",1993,64,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1037","pbmc3k",2416,62,"14","14","hPEP0","hPEP.0","PEP"
"Neuron1038","pbmc3k",572,42,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron1039","pbmc3k",1730,61,"14","14","hPEP0","hPEP.0","PEP"
"Neuron1040","pbmc3k",1597,58,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1041","pbmc3k",623,59,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron1042","pbmc3k",1515,62,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1043","pbmc3k",3489,67,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1044","pbmc3k",1077,61,"0","0","hNP1","hNP1","NP"
"Neuron1045","pbmc3k",1695,60,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1046","pbmc3k",2855,63,"3","3","hSST","hSST","NP"
"Neuron1047","pbmc3k",3542,74,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1048","pbmc3k",2686,60,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1049","pbmc3k",6018,71,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1050","pbmc3k",5295,69,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1051","pbmc3k",6496,64,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1052","pbmc3k",2811,65,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1053","pbmc3k",6925,76,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron1055","pbmc3k",2935,62,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron1057","pbmc3k",3046,67,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron1058","pbmc3k",692,48,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1059","pbmc3k",528,44,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1060","pbmc3k",702,45,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1061","pbmc3k",9743,68,"8","8","hAb.LTMR","hATF3","NF"
"Neuron1062","pbmc3k",10912,66,"12","12","hPropr","hPropr","NF"
"Neuron1063","pbmc3k",3687,67,"12","12","hPropr","hPropr","NF"
"Neuron1064","pbmc3k",8138,73,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron1066","pbmc3k",6006,70,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron1067","pbmc3k",7122,76,"3","3","hSST","hSST","NP"
"Neuron1069","pbmc3k",10310,72,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron1070","pbmc3k",4074,61,"12","12","hPropr","hPropr","NF"
"Neuron1071","pbmc3k",5504,68,"8","8","hAb.LTMR","hATF3","NF"
"Neuron1072","pbmc3k",3317,57,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1073","pbmc3k",4560,67,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1074","pbmc3k",1017,70,"5","5","hNP1","hNP1","NP"
"Neuron1075","pbmc3k",10812,71,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1076","pbmc3k",1045,63,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1078","pbmc3k",4020,68,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1079","pbmc3k",2925,68,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1080","pbmc3k",6163,77,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1081","pbmc3k",1818,59,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1082","pbmc3k",1038,54,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron1083","pbmc3k",2657,66,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1084","pbmc3k",551,48,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1085","pbmc3k",247,42,"14","14","hPEP0","hPEP.0","PEP"
"Neuron1086","pbmc3k",3202,60,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1087","pbmc3k",5256,74,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron1088","pbmc3k",986,57,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron1089","pbmc3k",525,60,"3","3","hSST","hSST","NP"
"Neuron1090","pbmc3k",1188,57,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1091","pbmc3k",5100,69,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1092","pbmc3k",155,38,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1093","pbmc3k",434,52,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1094","pbmc3k",634,57,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1095","pbmc3k",5724,68,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron1097","pbmc3k",233,39,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1098","pbmc3k",4121,64,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1099","pbmc3k",1844,63,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1100","pbmc3k",1412,60,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1101","pbmc3k",3535,73,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1102","pbmc3k",1178,58,"14","14","hPEP0","hPEP.0","PEP"
"Neuron1103","pbmc3k",4156,67,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1105","pbmc3k",17172,77,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron1106","pbmc3k",2487,56,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1107","pbmc3k",6680,67,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron1108","pbmc3k",297,46,"14","14","hPEP0","hPEP.0","PEP"
"Neuron1109","pbmc3k",122,34,"12","12","hPropr","hPropr","NF"
"Neuron1110","pbmc3k",4338,77,"14","14","hPEP0","hPEP.0","PEP"
"Neuron1111","pbmc3k",4899,74,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron1112","pbmc3k",991,64,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1113","pbmc3k",6049,67,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1114","pbmc3k",1358,52,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron1115","pbmc3k",4331,74,"15","15","hNP2","hNP2","NP"
"Neuron1116","pbmc3k",451,56,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1117","pbmc3k",3974,73,"3","3","hSST","hSST","NP"
"Neuron1118","pbmc3k",5879,70,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1119","pbmc3k",1836,61,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1120","pbmc3k",10506,72,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron1121","pbmc3k",808,54,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1122","pbmc3k",874,56,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1123","pbmc3k",8649,70,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron1124","pbmc3k",6953,71,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1125","pbmc3k",3812,62,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1126","pbmc3k",3055,69,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1127","pbmc3k",2141,69,"5","5","hNP1","hNP1","NP"
"Neuron1128","pbmc3k",8093,75,"0","0","hNP1","hNP1","NP"
"Neuron1129","pbmc3k",3362,62,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1130","pbmc3k",2779,72,"0","0","hNP1","hNP1","NP"
"Neuron1131","pbmc3k",831,62,"5","5","hNP1","hNP1","NP"
"Neuron1132","pbmc3k",6185,70,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
